authors,body,datetime,news_site,title,url
Daysia Tolentino,"Over 250 popular musicians — including Billie Eilish, Green Day and  Dave Matthews — signed a letter Thursday urging the Senate Commerce Committee to support a bill that aims to reform the live-event ticketing system.The Fans First Act , which was introduced and referred to the Commerce Committee in December, hopes to remedy three major issues in the ticketing industry: ticket transparency, consumer protection and preventing bad actors from charging exorbitant resale prices. It is one of several bills introduced in recent years aimed at combating unfair ticketing practices, including the  BOSS and SWIFT Act  and the  TICKET Act .Fix the Tix, a coalition of live event industry organizations spearheaded by the National Independent Venue Association and Eventbrite, organized the letter, which was addressed to Commerce Committee Chair Maria Cantwell, D-Wash., and Sen. Ted Cruz, R-Texas, the ranking member.Other artists who signed include: Cyndi Lauper, Jason Mraz, Lorde, Sia, Train, Fall Out Boy, Graham Nash, Becky G and Chappell Roan.Discontent toward the ticketing industry, especially Ticketmaster, reached a fever pitch in recent years. Fans  sued Ticketmaster  in 2022 after the company  struggled to keep up  with the demand for Taylor Swift’s Eras Tour. The Eras Tour debacle led to a Senate Judiciary Committee hearing to  examine Ticketmaster’s outsize role  in the industry. (Swift was not among the artists who signed the letter.)""We are joining together to say that the current system is broken: predatory resellers and secondary platforms engage in deceptive ticketing practices to inflate ticket prices and deprive fans of the chance to see their favorite artists at a fair price,"" the letter, a copy of which NBC News viewed, states.Stephen Parker, executive director of the National Independent Venue Association, said in a statement that “the time for comprehensive ticketing reform is now.”“It is clear that all participants of the live event ecosystem, from artists, to venues, to fans, demand comprehensive ticketing reform and consumer protection against the predatory ticket resale practices that have deeply afflicted live entertainment in the United States,” Parker said.The Fans First Act would require all ticket sellers and resellers to disclose and break down the total cost of a ticket, including fees. It would also bolster the Better Online Ticket Sales (BOTS) Act, which was introduced in 2016 to prohibit scalpers from using software to buy high volumes of tickets, by further prohibiting the use of bots to purchase tickets. ""We, as artists, as music lovers, and as concert attendees ourselves, urge you to support the Fans First Act to combat predatory resellers’ deceptive ticketing practices and the secondary platforms, which also profit from these practices,"" the letter sent Thursday states. ""Predatory resellers should not be more profitable than the people dedicating their lives to their art.""The senators co-sponsoring the bill are: John Cornyn, R-Texas; Amy Klobuchar, D-Minn.; Marsha Blackburn, R-Tenn.; Ben Ray Luján, D-N.M.; Roger Wicker, R-Miss.; Peter Welch, D-Vt.; Cindy Hyde-Smith, R-Miss; and Mark Kelly, D-Ariz.Live Nation previously issued its support for the bill, saying the company welcomes “legislation that brings positive reform to live event ticketing.”The company, which owns Ticketmaster, is expected to be served an antitrust lawsuit by the Justice Department as soon as next month,  according to The Wall Street Journal .",2024-04-25 13:00:00 PM EEST,NBC,"Billie Eilish, Green Day and other artists back bill that would reform live-event ticketing system",https://www.nbcnews.com/pop-culture/pop-culture-news/billie-eilish-green-day-artists-letter-of-support-fans-first-act-rcna149023
Kat Tenbarge,"TikTok creators weren’t surprised to hear that President Joe Biden signed into law a bill that could lead to a TikTok ban, but they’re close to unanimous in their belief that the federal government is wrong to push the legislation forward.For almost four years,  since July 2020 , a potential TikTok ban has been under consideration by members of the federal government. A bipartisan bill to ban TikTok in the U.S. was first proposed in December 2022, and the version that was just signed into law has been in the works since  before March . It’s not an immediate ban — it includes a nine-month deadline for the company to sell to a U.S.-approved owner or face a ban — and TikTok CEO Shou Chew says the company will  fight the decision  in court.On the app, chatter around the bill has been  going strong  for months, with creators and users incensed that Congress is focusing on TikTok over other issues that are popular with the app’s user base, which skews young.A  video from three days ago  from popular New York creator Dutch de Carvalho, which has close to 8 million views and 2 million likes, reviews a list of things Carvalho says Americans don’t have: affordable housing, student loan forgiveness, a higher minimum wage and free Covid-19 tests among them.“Can we at least watch videos on an app of people doing fun things and learn about the world around us?” the video’s creator says. “No. But don’t forget, we’re listening to you,” he says from the perspective of the government.Three TikTok creators with large followings shared their feelings with NBC News about the legislation and how the user base will continue to react to it.“I don’t think TikTok is going away,” Marcus DiPaola said. DiPaola covers news on TikTok to an audience of almost 4 million followers. He said that in court, the U.S. will have to show evidence for its primary concern  underlying the bill : that TikTok could be sharing American user data with the Chinese government, or that TikTok is recommending Chinese government propaganda to American users. TikTok has denied both. “They need to prove that they’re actively doing it, and I don’t see that happening,” DiPaola said. Still, DiPaola said, the proposed ban has stoked fear on the app. “You see that because every single video about TikTok getting banned blows up,” he said. “It’s not just creators; it’s users who don’t create anything. It’s the people with small businesses that depend on TikTok for advertising.” TikTok introduced  TikTok Shop  in September, which has allowed an explosion of small businesses to sell their products on the app, and creators to get a cut for advertising the products.A.B. Burns-Tucker, who has over 700,000 followers on TikTok, told NBC News that she, too, is concerned a TikTok ban would disrupt and disadvantage small-business owners in the U.S. who use the platform to advertise, especially Black and minority-owned businesses. Burns-Tucker, a paralegal, built an audience in part by covering current events in the language of African American Vernacular English.“This app provides us with a livelihood, people of color, where we didn’t have opportunities before,” Burns-Tucker said. “We’re forced, in the next nine months, to figure out how to pivot.”Heading into a presidential election, Burns-Tucker added that the move could further discourage voters and contribute to  persistent distrust  in the federal government.“We as users, as American citizens and voters, called our representatives and said, ‘We don’t want a TikTok ban,’” Burns-Tucker said, referencing TikTok’s recent  call to action  that prompted users to reach out to their representatives and senators about the bill. “They made it seem like we were being mind-controlled by TikTok to bully them.” Jules Terpak, who has over 350,000 followers on TikTok, thinks the conversation around banning TikTok will continue indefinitely, but she also doesn’t think it will make or break the 2024 presidential election.“Trump originally proposed this move back in 2020,” Terpak said. “I think people will ultimately remember and it won’t have much of an impact on Biden versus Trump.”Terpak urges creators to diversify their platforms and income streams, knowing that the future of any social media app is uncertain, especially TikTok.“I assume a sale or ban of TikTok will be a never-ending conversation until one of the two happens,” she added. “Even if this bill doesn’t end up going through somehow, I expect the topic to come up again and again.”",2024-04-25 01:13:00 AM EEST,NBC,TikTok creators react to Biden signing ban-or-sell law: 'We don't want a TikTok ban',https://www.nbcnews.com/tech/social-media/tiktok-creators-react-biden-signing-ban-sell-law-rcna149174
Rob Wile,"It will take some time for the Caitlin Clark effect to be felt across the WNBA.Clark enters the league as a budding superstar who is already widely recognized as having been the biggest figure in a sea change for women's basketball. Shortly after she helped the NCAA women's Final Four set broadcasting records, she went first overall in the WNBA draft, helping the event draw a bigger TV viewership than  the most recent MLB and NHL drafts . Tickets for the Indiana Fever, who drafted Clark last weekend, are the hottest in the sport.  Clark’s jersey has already sold out  — though Dick's Sporting Goods intends to sell Clark name and number T-shirts in all 724 of its locations, according to a company spokesperson. Last year, it sold WNBA merch in only a fraction of its stores. But even as women’s basketball surges broadly, Clark comes into a league that has faced steep financial shortcomings, leaving its players well short of being compensated at the levels of their male counterparts. “It’s not good enough,” Nancy Lieberman, a Hall of Fame basketball player, Olympic gold medalist and NCAA champion, said in an interview. “It has to get better.”It could take several years for all the crucial deals among players, the league, broadcast partners and other business interests to renegotiate the way money flows.Right now, WNBA players remain locked into the collective bargaining agreement, or CBA, they signed in 2020, which dictates their overall pay terms. Since the deal was signed, the revenue generated by the WNBA has grown — yet it still pales in comparison to those generated by the NBA.Last year,  a Bloomberg News report  found the WNBA was projected to make $180 million to $200 million for the 2023 season. A WNBA spokesperson declined to comment on the report, which NBC News hasn’t verified. The spokesperson also declined to discuss league financials. The WNBA's revenue compares with about $10 billion for the NBA in the season ending in 2022, the most recent year for which data is available.The WNBA’s lower revenue is a key reason for  the pay disparity between the leagues  that has now drawn national headlines, and it is why rookies, including Clark, will earn a base salary of just $76,000 this season.Of course, Clark will earn much more than that through outside sponsorship deals. And she is eligible for a suite of performance-based bonuses and marketing arrangements with her team, the Fever, and the league itself that are worth at least $500,000.   But that would still most likely be less than the NBA’s current league minimum of about $1 million. Technically, NBA rookies make slightly more than that. Players in the NBA’s lower-level G League are the exception; they typically earn a season salary of about $40,000.The gap between male and female basketball players isn’t only about the level of pay.  NBA players enjoy about a 50-50 split of so-called basketball-related revenues — like broadcast money and jersey sales — with owners.The CBA that WNBA players signed allowed for revenue sharing only if certain revenue thresholds were met. And so far, they’ve fallen short, a WNBA spokesperson confirmed. WNBA players can opt out of their CBA after this season — and it’s likely that they will, given the enormous growth the women’s game had been experiencing even before Clark captured America’s attention.The hope is that with Clark and other young stars entering the league, there will soon be more money and better terms for its players.In particular, the WNBA is poised to negotiate a new set of broadcasting rights that will increase the value of the league — enough to the point that the revenue sharing threshold would become moot, assuming the thresholds even remain.Ironically, the fate of the WNBA remains in the hands of the NBA, which controls more than 40% of the women's league. That's why Terri Carmichael Jackson, the Women’s National Basketball Players Association executive director, has called on the NBA to put the WNBA front and center.    ""It’s time the NBA recognizes the indispensable role of WNBA players in shaping the league’s future success,"" Carmichael Jackson said in a statement to NBC News. She continued: “They must acknowledge that valuing WNBA players and paying million-dollar salaries requires a stronger broadcast deal, one that absolutely necessitates players at the negotiating table to strengthen the business case and drive home their value.""Asked for comment, an NBA spokesperson referred NBC News to the WNBA.In a statement, WNBA Commissioner Cathy Engelbert said: “We continue to find ways to return some of the growth we have been experiencing to the players beyond what the CBA requires,"" referring to the collective bargaining agreement.We’re “increasing playoff bonuses by over 50% and providing a $4 million budgeted charter [flight] program for full playoffs, all back-to-backs requiring air travel, and the Commissioner Cup Championship Game,” Engelbert added.WNBA players aren’t necessarily asking to be paid at the same levels as their NBA counterparts. Rather, as Las Vegas Aces star Kelsey Plum said on an episode of the Vegas-centric “ The Residency Podcast ,” “We’re asking to get paid the same percentage of revenue shared.”Lieberman, the Hall of Famer, said there has been unwillingness to make the kinds of investments necessary to put the game front and center, on TV or elsewhere.""Being the first, it can be very lonely,"" she said, adding that, in many cases, her success had come from decision-makers — mostly men — who had ""taken a leap of faith.""Lieberman's comments echoed those of University of Connecticut women's coach Geno Auriemma, who was much more explicit in his criticism of the WNBA's growth efforts.“The WNBA is going to have to do a great job of marketing these guys,” he said at a news conference this month, referring to players like Clark and Huskies star Paige Bueckers. “And the WNBA I don’t think has done a great job of marketing their individual stars.”CORRECTION  (April 22, 2024, 9:54 a.m. ET) A previous version of this article misstated which Clark merchandise sold out at Dick’s Sporting Goods. They were T-shirts, not jerseys.",2024-04-21 15:02:00 PM EEST,NBC,"WNBA players could earn more money, but it will take big changes to make that happen",https://www.nbcnews.com/business/business-news/women-basketball-players-pay-discrepancy-record-viewership-explained-rcna148233
Reuters,"LONDON — Gay dating app Grindr is facing a mass data protection lawsuit in London from hundreds of users who allegedly had their private information, including HIV status, shared with third parties without consent, a law firm said on Monday.Austen Hayes, which said the lawsuit is being filed at London’s High Court, said thousands of Grindr users in the United Kingdom may have been affected.The firm alleges users’ highly sensitive information, including HIV status and the date of their latest HIV test, were provided to third parties for commercial purposes.Grindr said in a statement provided to the Guardian that it planned to “respond vigorously to this claim, which appears to be based on a mischaracterisation of practices from more than four years ago”.Austen Hayes said around 670 people had signed up to the lawsuit over breaches said to have taken place between 2018 and 2020, with potentially thousands more joining the case.Austen Hays’ Managing Director Chaya Hanoomanjee said in a statement: “Grindr owes it to the LGBTQ+ community it serves to compensate those whose data has been compromised and have suffered distress as a result, and to ensure all its users are safe while using the app, wherever they are, without fear that their data might be shared with third parties.”Grindr did not immediately respond to a request for comment. The Guardian reported a Grindr spokesperson as stating: “We are committed to protecting our users data and complying with all applicable data privacy regulations, including in the UK.“We are proud of our global privacy program and take privacy extremely seriously.”",2024-04-22 17:49:00 PM EEST,NBC,Grindr facing U.K. lawsuit over alleged data protection breaches,https://www.nbcnews.com/nbc-out/out-news/grindr-facing-uk-lawsuit-alleged-data-protection-breaches-rcna148787
The Associated Press,"Tesla knocked $2,000 off the prices of three of its five models in the United States late Friday, another sign of the challenges facing the electric vehicle maker led by billionaire Elon Musk.The company cut the prices of the Model Y, a small SUV which is Tesla’s most popular model and the top-selling electric vehicle in the U.S., and also of the Models X and S, its older and more expensive models. Prices for the Model 3 sedan and the Cybertruck stayed the same.The cuts reduced the starting price for  a Model Y  to $42,990 and to $72,990 for a Model S and $77,990 for a Model X.The move came the day after Tesla’s stock tumbled  below $150 per share , eliminating all gains made over the past year. The  Austin, Texas , company’s stock price has dropped about 40% so far this year amid  falling sales  and increased competition. Discounted sticker prices are a way to try to entice more car buyers.Musk posted early Saturday on X, the social media platform known as Twitter before he  acquired and renamed it , that the cost of an entry-level Tesla was as low as $29,490 once  a federal tax credit  and gas savings were factored in.Industry analysts have been waiting for Tesla to introduce a small electric vehicle that would cost around $25,000, the Model 2. Media reports this month that Musk planned to scrap the project created more uncertainty over the company’s direction, although Musk called them untrue.The price cuts ended a long workweek at Tesla, which announced Monday that it was  cutting 10% of its staff globally , about 14,000 jobs. The company also said it was  recalling nearly 4,000  of its 2024 Cybertrucks after discovering the accelerator pedal can get stuck, potentially causing the vehicle to accelerate unintentionally and increase the risk of a crash.On Saturday, Musk confirmed he had postponed a planned weekend trip to India to meet with  Prime Minister Narendra Modi , citing “very heavy Tesla obligations.” He said on X that he looked forward to rescheduling the visit for later this year.Tesla is scheduled to announce its first-quarter earnings on Tuesday.The company reported earlier this month that its worldwide sales fell sharply from January through March as competition increased worldwide, electric vehicle sales growth slowed, and earlier price cuts failed to lure more buyers.It was Tesla’s first year-over-year quarterly sales decline in nearly four years.",2024-04-21 01:19:00 AM EEST,NBC,"Tesla cuts U.S. prices on its Model Y, S and X vehicles after a difficult week",https://www.nbcnews.com/business/business-news/tesla-cuts-us-prices-3-electric-vehicle-models-difficult-week-rcna148693
"Erika Edwards,Akshay Syal, M.D.","The U.S. Department of Agriculture on Wednesday issued a federal order that any dairy cows being transported from one farm to another across state lines should be tested for bird flu. The new order comes one day after the Food and Drug Administration said that  fragments of the bird flu virus were found  in samples of pasteurized milk on store shelves. On Wednesday, the FDA said that, in order to identify where the contaminated milk was found, it was conducting a nationwide survey of commercially sold milk and would release its results in the coming days.When the outbreak was  first detected at the end of March , in an effort to keep the milk supply safe, farmers were instructed to discard the milk of sick cows, Don Prater, acting director of the FDA's Center for Food Safety and Applied Nutrition, said during a joint media briefing Wednesday. Farmers were also told by the USDA to test symptomatic cows.The discovery of the virus in the commercial milk supply, however, indicates those approaches weren't enough.It's unclear how the new mandate might curb the spread of the virus  — a strain of the bird flu called H5N1 — among the nation’s cattle. The virus has already been detected in dairy cows in  eight states : Idaho, Kansas, Michigan, New Mexico, North Carolina, South Dakota, Ohio and Texas.A big question for scientists now is, how long has it been going on and where else has it spread?""I think it's safe to say that it's longer and much more extensive that has been realized,"" said Dr. Michael Mina, an epidemiologist and former professor of immunology and infectious diseases at the Harvard T.H. Chan School of Public Health.The outbreak concerns scientists and public health officials because H5N1 can be especially deadly in people. However, once in people, the virus doesn't spread easily.Dr. Nirav Shah, principal deputy director of the Centers for Disease Control and Prevention, said during the media briefing that there's no indication that the H5N1 flu strain is causing any uptick in illness among people or poses an immediate danger to the public.“CDC has not identified any out-of-the-ordinary influenza-related emergency department visits, even when we compare areas where H5N1 has spread among cattle against areas where it has not,” Shah said.One person,  a dairy worker in Texas , was infected earlier this month. The CDC said that the case was mild and the worker developed conjunctivitis, or pink eye.Shah noted that another 44 people are being “actively monitored,” for illness.In addition to testing dairy cows before transporting them, Wednesday's order also requires that state veterinary labs report any positive tests to federal health authorities. “If [the cows] end up testing positive, they will have a 30-day waiting period before they could move and have to be tested again,” Mike Watson, administrator for the USDA's Animal and Plant Health Inspection Service, said during the media briefing.The worry is not whether people can catch the flu by drinking milk. The U.S. milk supply undergoes a mandatory pasteurization process, heating milk to a point where any bacteria or virus should be killed.Though the FDA has not completed studies specifically looking at whether pasteurization kills the virus that causes bird flu, the agency said on Tuesday that, ""to date, we have seen nothing that would change our assessment that the commercial milk supply is safe.""The FDA plans to release results of studies looking at pasteurization's effects on the bird flu virus in the coming days or weeks.",2024-04-25 02:26:00 AM EEST,NBC,USDA orders dairy cows to be tested for bird flu if moved across state lines,https://www.nbcnews.com/health/health-news/usda-orders-dairy-cows-tested-bird-flu-moved-state-lines-rcna149121
Variety,"Writers at  Sesame Workshop  reached a five-year agreement with the production company behind “Sesame Street,” averting the possibility of picket lines popping up in the show’s friendly neighborhood.The Writers Guild of America confirmed the deal late Friday. The group of 35 writers employed by the nonprofit organization voted unanimously to support a strike authorization vote last week.“We are so proud to work for an organization that values its writers, and we believe this new contract will positively impact writers throughout the children’s media landscape. ‘S’ truly is for Solidarity. We are glad to have a contract in place that allows Sesame to do what it does best — lead,” the  WGA ‘s Sesame Workshop Negotiating Committee said in a statement.The union sought to ensure that writing for the show’s animated segments and social media content would be covered by minimum rates. According to the guild, the deal includes those provisions. The deal also includes paid parental leave benefits, artificial intelligence provisions, and an improved residual in streaming.The contract was set to expire on Friday, and writers were set to begin picketing next week if an agreement had not been reached.Sesame Workshop lauded what it described as an “industry benchmark” of a deal.“We value our writers and their significant contributions to the creative process, which are integral to our ability to deliver on our nonprofit mission,” a Sesame Workshop spokeswoman said. “This agreement is a testament to our dedication to our creative talent, and we appreciate the WGA’s collaboration in working with us to establish this new industry benchmark.”Sesame Workshop is based in New York but scribes for the company are represented by both WGA West and WGA East. “Sesame Street” airs on the streamer Max as well as PBS.“Sesame Workshop writers won a new agreement that recognizes the value of the incredible work they do to educate and enlighten children around the world. This contract could not have been achieved without the solidarity and fortitude shown by the entire bargaining unit throughout the negotiations. Workers win when they stand together,” said WGA East president Lisa Takeuchi Cullen.",2024-04-20 19:28:00 PM EEST,NBC,"‘Sesame Street’ writers set new contract, avert strike",https://www.nbcnews.com/news/us-news/sesame-street-writers-set-new-contract-avert-strike-rcna148669
"Fallon Gallagher,Laura Jarrett","BOISE, Idaho — It was the news that every expectant mother dreads. Twelve weeks pregnant with her second child, Jennifer Adkins learned her developing fetus had Turner syndrome, a rare chromosomal abnormality, and was unlikely to survive. On top of that, doctors warned that her own health could be in jeopardy. Adkins was at high risk of what’s known as Mirror Syndrome — a condition in which the pregnant mother develops symptoms that mimic those of her deteriorating fetus, including swelling, high blood pressure and potentially pre-eclampsia. But when she raised the prospect of terminating the pregnancy with her doctors, Adkins learned it was not an option: The fetus still had a heartbeat.“They said we’re surprised that you’re still pregnant, given the severity of what we’re seeing on ultrasound. Most people would have miscarried by now,” she said. “I was just in total, total shock.”Idaho is one of more than a  dozen states that have banned nearly all abortions . Anyone who performs an abortion here is subject to up to five years in prison, and medical professionals who violate the law can also lose their licenses.The law provides an exemption if a doctor finds the procedure is necessary to prevent the death of the woman. But doctors in Idaho say there’s significant confusion about what to do when a patient is carrying a fetus that is not viable and could cause devastating complications, but she is not on the brink of death.“It makes no sense that we’re just going to wait until you’re on death’s door and then we’ll act,” said Dr. Duncan Harmon, one of only five full-time doctors specializing in maternal fetal medicine who remain in Idaho.The bind in which some Idaho doctors find themselves is at the heart of a lawsuit the U.S. Supreme Court must now consider. The justices heard  oral arguments  Wednesday and will decide whether the state’s abortion ban conflicts with a federal law that requires hospitals receiving federal funding to provide patients whatever treatment is necessary, including abortions, to stabilize them in emergencies. In their questions, several of the liberal justices raised examples of medical complications — such as the premature rupture of membranes — that could pose serious bodily injury if not immediately addressed but would not necessarily be fatal.It’s not the only legal challenge to Idaho’s law: Adkins has brought a lawsuit against Idaho in state court, along with three other women and two doctors, asking the court to clarify the scope of the state’s abortion ban. A trial is tentatively set for later this year.In Adkins’ case, waiting to miscarry naturally could have taken weeks. So she and her husband, John, packed their bags, cobbled together funds and drove six hours to Oregon for an abortion. “We were both disgusted by the treatment of our state,” she said. “Not only did we have to go through the trauma and grief of losing a very wanted baby, but then we had to have this emotional trauma of traveling to get the procedure.”Asked about Adkins’ lawsuit Wednesday, Idaho Attorney General Raúl Labrador, a Republican, said the law is “very clear.” “The law in Idaho protects unborn children and protects the life of the mother, and any instance where the life of mother’s in jeopardy, [abortion] will be allowed by the state of Idaho,” he said.But Gail Deady, a senior staff attorney for the Center for Reproductive Rights, the legal advocacy group representing Adkins, said she does not think “most doctors in Idaho have an understanding of where that line is.”Harmon said it’s an approach that contradicts medical training.“The idea of not acting, which might hasten the clinical situation to worsen, so that we can act only at the very end is counterintuitive to anything in medicine that I know,” he said.Even if an expectant mother is not on the verge of death, said Dr. Sara Thomson, an OB-GYN in the Boise area, it can still be heartbreaking to deny her the ability to end a pregnancy if she has a medical complication that means the baby is not going to survive.“Having her stay pregnant for hours or days longer, until she’s in a situation where we can declare her medical condition life-threatening, does nothing to benefit the baby and only harms the mother,” she said, adding, “We are adding trauma onto a situation that’s already traumatizing, and to feel like our hands are tied by a state legislature who doesn’t understand this clinical detail is super frustrating.”In the 15 months after Idaho’s abortion ban went into effect in August 2022, Idaho lost 22%  of its 268 OB-GYNs , according to  a report from the Idaho Physician Well-Being Action Collaborative . Because of that, Thomson said, “even if you don’t have any complications, you may find yourself in a situation where you are having to drive many miles, more than an hour, to have a prenatal visit or to deliver your baby.”Thomson added that she, too, updated her résumé recently — for the first time in 10 years.Harmon, however, said he plans to stay, at least for now.“Those of us [who] are left are kind of thinking … we got to stick around, because if we don’t, who will?“ he said. Adkins is pregnant again in a state that she feels has already failed her once.“It’s scary, and it continues to get scarier,” she said. “Just knowing what the state of maternal care is in our state right now, it’s like walking on eggshells.”",2024-04-25 01:27:00 AM EEST,NBC,Mother describes leaving Idaho for an abortion as Supreme Court considers its ban,https://www.nbcnews.com/health/womens-health/idaho-abortion-ban-supreme-court-mother-lawsuit-rcna148945
"Brian Schwartz, CNBC,Kevin Breuninger, CNBC","Shares of  Trump Media  shot up more than 9% on Wednesday, hours after the company revealed it was urging House  Republican  committee leaders to investigate possible “unlawful manipulation” of its  stock .The stock boost also came one day after a deadline passed for former President  Donald Trump , the company’s majority owner, to become eligible for an additional 36 million  “earnout” shares . That stake was worth more than $1.3 billion as of the share price at 3:25 p.m. ET.It was unclear what spurred the sudden rise of Trump Media, which began the trading day down nearly 5% before turning positive later Wednesday morning.The company’s CEO, Devin  Nunes , in a  letter  Tuesday asked the GOP chairs to probe “anomalous trading” of the stock in order to gauge the extent of the alleged manipulation and “whether any laws including RICO statutes and tax evasion laws were violated.”The request doubles down on  Nunes’ claim  that Trump Media, which trades under the ticker DJT, is the apparent victim of “naked” short selling, the practice of selling a company’s shares without first borrowing them for that purpose.Trump Media, which began trading on the  Nasdaq  on March 26 after completing a lengthy public merger, was far and away the most expensive U.S. stock to short as of early April.Brokers therefore “have a significant financial incentive to lend non-existent shares,” wrote Nunes, himself a former House GOP chair, in the letter.The probe is necessary to protect the company’s shareholders and to ensure that “the perpetrators of any illegal activity can be held to account,” he wrote.The CEO addressed the letter to four House committee leaders: Financial Services Chairman Patrick McHenry, R-N.C., Judiciary Chairman Jim Jordan, R-Ohio, Ways and Means Chairman Jason Smith, R-Mo., and Oversight Chairman James Comer, R-Ky.Spokespeople for the four chairmen did not immediately respond to CNBC’s requests for comment on Nunes’ letter.The letter comes as the stock price of Trump Media, which created the social media app Truth Social, continues to trend down in volatile trading sessions.DJT shot up in its trading debut and has touched a high of nearly $80 a share, but it has since lost more than half of that value.Trump Media has been described as a meme stock and a “ scam ” by some analysts who are quick to highlight the disparity between the company’s  lack of revenue  and its roughly $5 billion market capitalization.The letter from Nunes also escalates a feud with  Citadel Securities , the capital markets firm founded by GOP megadonor Ken Griffin.Nunes referenced Citadel Securities in an April 18 letter to Nasdaq CEO Adena Friedman, warning that DJT “appears on Nasdaq’s ‘Reg SHO threshold list,’ which is indicative of unlawful trading activity.” He referenced Citadel Securities again in the new letter he sent to Congress.The Reg, or Regulation, SHO list was designed to monitor short sales and flag potentially problematic failures to deliver securities to parties in a transaction. But “there are many justifiable reasons why broker-dealers do not or cannot deliver securities on the settlement date,” the SEC notes on its website.Nunes told Friedman in his letter that more than 60% of DJT shares have been traded by just four market participants, including Citadel Securities.The firm responded with a statement blasting Nunes as “the proverbial loser who tries to blame ‘naked short selling’ for his  falling stock price .”“Nunes is exactly the type of person Donald Trump would have fired on [The] Apprentice,” a spokesperson for  Citadel Securities added  in that statement Friday.A spokeswoman for Trump Media shot back: “Citadel Securities, a corporate behemoth that has been fined and censured for an incredibly wide range of offenses including issues related to naked short selling, and is world famous for screwing over everyday retail investors at the behest of other corporations, is the last company on earth that should lecture anyone on ‘integrity.’”A representative for Citadel Securities did not immediately respond to a request for comment.",2024-04-25 01:13:00 AM EEST,NBC,Trump Media jumps more than 9% after CEO asks House GOP to probe possible DJT stock 'manipulation',https://www.nbcnews.com/business/markets/trump-media-jumps-ceo-asks-house-gop-probe-possible-stock-manipulation-rcna149266
"Gabrielle Fonrouge, CNBC","Longtime mall retailer  Express  filed for Chapter 11 bankruptcy protection on Monday, but a group of investors led by brand management firm WHP Global is looking to save the company by acquiring it. Express, whose portfolio includes its namesake banner, Bonobos and UpWest, said it will close 95 of its eponymous shops and all of its UpWest doors. Closing sales are expected to begin Tuesday. The company said hours for remaining stores won’t change and it will continue to accept orders and returns as usual.In a news release, Express said it filed for bankruptcy to “facilitate” a sale process of most of its retail stores and operations to the investor group, which includes WHP,  Simon Property Group  and Brookfield Properties. It received a nonbinding letter of intent from the investors to buy the assets, and has also secured $35 million in new financing from some of its existing lenders, subject to court approval. “The proposed transaction will provide Express with additional financial resources, better position the business for profitable growth and maximize value for the Company’s stakeholders,” Express said. Express also secured $49 million in cash from the IRS related to the CARES Act — a critical influx of liquidity that the company had been waiting on to shore up its balance sheet. “We continue to make meaningful progress refining our product assortments, driving demand, connecting with customers and strengthening our operations,” CEO Stewart Glendinning said in a statement. “We are taking an important step that will strengthen our financial position and enable Express to continue advancing our business initiatives,” he added.The business casual apparel brand, founded in 1980 by Les Wexner’s Limited Brands, has seen sales plummet over the last few years as debt and costly mall leases dragged down its business. Earlier this month, CNBC reported that Express was  struggling to pay its vendors  on time, indicating it was in financial distress and struggling to manage cash flows. When retailers can’t pay their vendors, suppliers sometimes tighten payment terms or refuse to fulfill orders, which can further pressure a company’s liquidity.Last spring, Express  acquired Bonobos’  operating assets and related liabilities for $25 million from  Walmart  in a joint deal with WHP. The deal came as Express’ “core business was weak, and cash was tight,” GlobalData managing director Neil Saunders said in a Monday note.Still, its biggest problem was declining revenue, which has fallen by about 10% since 2019, Saunders said. “This stands in marked contrast to an apparel sector that has grown strongly over the same period. This has put the company under a lot of financial strain and has resulted in some significant losses. None of this is sustainable which is one of the reasons for bankruptcy,” said Saunders.  “The woes at Express are not all of its own making,” he said. “The formal and smart casual market for both men and women has softened over recent years because of a rise from working from home and the casualization of fashion. This puts Express firmly on the wrong side of trends and, in our view, the chain made too little effort to adapt.”Bankruptcy will provide some key relief to Express and help it get back on stronger footing as it works to implement its turnaround strategy. It’ll allow the retailer to get out of costly and burdensome leases, many of which are in struggling malls, and has made the company more attractive to buyers. Powerhouse law firm Kirkland & Ellis, which led Bed Bath & Beyond and many other failed retailers through their bankruptcies, is serving as Express’ legal counsel. Moelis & Co. has been tapped as its investment banker and M3 Partners has signed on as its financial advisor.",2024-04-22 19:36:00 PM EEST,NBC,"Express files for bankruptcy, plans to close nearly 100 stores as investor group looks to save the brand",https://www.nbcnews.com/business/business-news/express-files-bankruptcy-plans-close-nearly-100-stores-investor-group-rcna148821
