authors,body,datetime,news_site,title,url
Vanessa Romo,"The University of South Carolina wasn't the only winner of the NCAA women's basketball tournament. The television networks carrying the game were, too – with a record-setting number of viewers tuning in to watch the championship on Sunday. The final game, between South Carolina's Gamecocks and the University of Iowa's Hawkeyes, averaged about 18.7 million viewers and peaked at a whopping  24 million  combined on ESPN and ABC, making it the first time in history that a women's final has drawn a larger TV audience than the men's, according to ESPN. In contrast, the victory of the men's Division 1 UConn Huskies over Purdue averaged 14.82 million on TBS and TNT. But it's not the only sports glass ceiling that was crushed; Sunday's game was also the most-watched basketball game, either men's or women's and college or professional, since 2019.Sunday's title game was the third consecutive record-setting night for television viewership of the women's college tournament. The Elite Eight matchup between Iowa and LSU — a rematch of the 2023 NCAA championship, drew a  then-record 12.3 million viewers , ESPN said, with a peak audience of 16.1 million. The subsequent semifinals between Iowa and the University of Connecticut broke that record, attracting 14.2 million TV viewers,  ESPN said . ESPN Chairman Jimmy Pitaro called the championship faceoff ""a fitting finale"" to the March Madness tournament. ""These exceptional athletes, coaches and teams captured our attention in unprecedented ways and it's incumbent on all of us to keep the incredible momentum going,"" Pitaro said in a statement.  A new generation of superstar athletes has fueled a new passion for women's basketball, particularly Iowa's Caitlin Clark, who became the  most prolific scorer  in NCAA history this season. Other huge draws this season include LSU's Angel Reese, the NCAA's  record-holder  for double-doubles in a season; UConn's Paige Bueckers, who will be back on the team next year for her senior season instead of entering the 2024 WNBA draft; and the  freshman phenom  from USC, JuJu Watkins. ",2024-04-10 13:41:00 PM EEST,NPR,Women's NCAA championship TV ratings crush the men's competition,https://www.npr.org/2024/04/10/1243801501/womens-ncaa-championship-tv-ratings
Becky Sullivan,"World Athletics, the governing body that oversees track and field competitions worldwide, will award $50,000 in prize money to gold medal winners at the 2024 Olympic Games in Paris. In doing so, the organization will become the first international federation to offer prize money directly to Olympic medalists, a landmark moment in the Olympic Games' slow-but-sure shift away from amateurism. In total, the World Athletics prize pot for 2024 will amount to $2.4 million for the 48 men's and women's athletics events, which include track and field competitions like the 100-meter run, pole vault and javelin, alongside road races such as the marathon and race walk. Relay teams of four will split the winnings with $12,500 apiece. In  Wednesday's announcement , World Athletics also said it would pay prize money on a tiered basis to all medal winners in the 2028 Olympic Games in Los Angeles, with details to be announced closer to the event. ""While it is impossible to put a marketable value on winning an Olympic medal, or on the commitment and focus it takes to even represent your country at an Olympic Games, I think it is important we start somewhere and make sure some of the revenues generated by our athletes at the Olympic Games are directly returned to those who make the Games the global spectacle that it is,"" said Sebastian Coe, the president of World Athletics and a two-time Olympic gold medal runner. The prize money comes from payments to World Athletics from the International Olympic Committee, which brings in billions of dollars in revenue from broadcasting deals and other sponsorships. The IOC then redistributes millions each year to international sporting federations and national Olympic committees. The IOC was not aware of the decision until shortly before World Athletics made the public announcement, Coe said. No other sporting federations have announced similar plans to compensate medalists. <h2>Some countries give their athletes bonuses for medaling</h2>Many Olympic athletes receive medal bonuses from their home countries. The U.S. Olympic and Paralympic Committee awards its athletes $37,500 for gold medals, $22,500 for silver and $15,000 for bronze. Some countries that field far fewer athletes offer much larger bonuses: Hong Kong offers the equivalent of about $638,000 to gold medalists, and Singapore offers about $740,000. But other countries, including the U.K. and New Zealand, offer no prize money at all.The $50,000 prizes for gold medalists underscore World Athletics' ""commitment to empowering the athletes and recognising the critical role they play in the success of any Olympic Games,"" Coe said. The costs to train and compete in the Olympics can be extremely high for athletes, who must pay thousands of dollars each year for coaching and travel to events, all while they forgo traditional career earnings in order to pursue their sport. Like many countries, the United States does not offer direct federal support for its Olympic athletes. Some athletes, especially those who compete in sports that attract the highest viewership, such as gymnastics, are able to earn money from sponsorship deals. Karsten Warholm, a Norwegian sprinter who won a gold medal in the 2020 Tokyo Olympic Games, welcomed the news. ""I think it's good so I want to salute them for it,"" Warholm  told Reuters . Norway is among the countries that does not offer a bonus to its medalists. ""It doesn't change my motivation to win because for the Olympics I'm not in it for the money. The gold medal is worth a lot more to me personally.""",2024-04-10 22:38:00 PM EEST,NPR,"World Athletics will pay $50,000 to Olympic gold medalists in track and field events",https://www.npr.org/2024/04/10/1243962306/olympics-gold-medal-prizes-track-and-field
Ayana Archie,"The University of Connecticut men's basketball team won the NCAA championship Monday night, becoming the first team since 2007 to repeat as champions. The Huskies defeated Purdue University 75-60 on Monday night, becoming the first team to win back-to-back championships since the University of Florida in 2006 and 2007, according to the NCAA. It is the Huskies men's team's sixth championship overall, and they have won every time they made it to the finals, including in 1999, 2004, 2011, 2014 and 2023. UConn also became just the eighth program in men's college basketball history to win consecutive titles.",2024-04-09 07:29:00 AM EEST,NPR,The UConn men's basketball team has won back-to-back NCAA championships,https://www.npr.org/2024/04/09/1243600062/uconn-basketball-ncaa-championship-purdue
None,"The National Association of Intercollegiate Athletics announced a policy Monday that all but bans transgender athletes from competing in women's sports at its 241 mostly small colleges across the country.The NAIA Council of Presidents approved the policy in a 20-0 vote at its annual convention in Kansas City, Missouri. The NAIA, which oversees some 83,000 athletes competing in more than 25 sports, is believed to be the first college sports organization to take such a step.According to the transgender participation policy, all athletes may participate in NAIA-sponsored male sports but only athletes whose biological sex assigned at birth is female and have not begun hormone therapy will be allowed participate in women's sports.A student who has begun hormone therapy may participate in activities such as workouts, practices and team activities, but not in interscholastic competition.""With the exception of competitive cheer and competitive dance, the NAIA created separate categories for male and female participants,"" the NAIA said. ""Each NAIA sport includes some combination of strength, speed and stamina, providing competitive advantages for male student-athletes. As a result, the NAIA policy for transgender student-athletes applies to all sports except for competitive cheer and competitive dance, which are open to all students.""There is no known number of transgender athletes at the high school and college levels, though it is believed to be small. The topic has nonetheless become a hot-button issue among conservative groups and others who believe transgender athletes should not be allowed to compete on girls' and women's sports teams.""The NAIA understands that legal action being taken to challenge the policy is a possibility, but this policy is one our membership and board felt like was the right decision,"" the NAIA said in a statement to The Associated Press.Shiwali Patel, senior counsel at the National Women's Law Center, said her organization was outraged by the NAIA policy.""This is unacceptable and blatant discrimination that not only harms trans, nonbinary and intersex individuals, but limits the potential of all athletes,"" Patel said in a statement. ""It's important to recognize that these discriminatory policies don't enhance fairness in competition. Instead, they send a message of exclusion and reinforce dangerous stereotypes that harm all women.""Last month, more than a dozen current and former college athletes filed a federal lawsuit against the NCAA, accusing the sports governing body for more than 500,000 athletes of violating their rights by allowing transgender women to compete in women's sports.Hours after the NAIA announcement, the NCAA released a statement: ""College sports are the premier stage for women's sports in America and the NCAA will continue to promote Title IX, make unprecedented investments in women's sports and ensure fair competition for all student-athletes in all NCAA championships.""At least 24 states have laws barring transgender women and girls from competing in certain women's or girls sports competitions.The Biden administration originally planned to release a new federal Title IX rule — the law forbids discrimination based on sex in education — addressing both campus sexual assault and transgender athletes. Earlier this year, the department decided to split them into separate rules, and the athletics rule now remains in limbo even as the sexual assault policy moves forward.Patel said the NAIA ban, along with the state laws, ""emphasizes the urgency in having clear Title IX rules that expressly prohibit this type of sex-based discrimination, and ensure the rights of all students, including transgender, nonbinary, and intersex athletes, are safeguarded. Trans athletes deserve a chance to play.""The NCAA has had a policy for transgender athlete participation in place since 2010, which called for one year of testosterone suppression treatment and documented testosterone levels submitted before championship competitions.In 2022, the NCAA revised its policies on transgender athlete participation in an attempt to align with national sport governing bodies, following the lead of the U.S. Olympic and Paralympic Committee.The three-phase implementation of the policy included a continuation of the 2010 policy, requiring transgender women to be on hormone replacement therapy for at least one year, plus the submission of a hormone-level test before the start of both the regular season and championship events.The third phase adds national and international sport governing body standards to the NCAA's policy and — after a delay — is scheduled to be implemented for the 2024-25 school year on Aug. 1.There are some 15.3 million public high school students in the United States and a 2019 study by the CDC estimated 1.8% of them — about 275,000 — are transgender. The number of athletes within that group is much smaller; a 2017 survey by Human Rights Campaign suggested fewer than 15% of all transgender boys and transgender girls play sports.The number of NAIA transgender athletes would be far smaller.",2024-04-09 01:04:00 AM EEST,NPR,NAIA all but bans transgender athletes from women's sports,https://www.npr.org/2024/04/08/1243548261/naia-transgender-athlete-sports-ban
Emma Bowman,"The South Carolina Gamecocks were crowned national women's champions on Sunday, beating fellow top-seed rival Iowa Hawkeyes and  star Caitlin Clark  87-75.The win gives coach Dawn Staley and her team a third NCAA title, capping a perfect season for the Gamecocks.The Hawkeyes had a strong start shooting spree buoyed by Clark. The Iowa guard sank a last-minute 3-pointer to notch 18 points in the first quarter –  the most ever scored  in a single quarter of a tournament game in NCAA history. In the end, even with the league's top player, Iowa was no match for South Carolina's teamwork.Four players netted double-digits, led by freshman Tessa Johnson at 19 points. Senior Kamilla Cardoso, who earned MVP honors, powered through a recent knee injury to put up 15 points and 17 rebounds. Defensive work from Bree Hall and Raven Johnson — whose steal from Clark broke open the Gamecocks' lead at halftime — slowed Clark's stride.It was redemption for Staley after losing to Iowa in last year's semifinal. Staley, who had to rebuild a young team after losing five players from the starting lineup last year, was emotional after the buzzer.""It doesn't always end like you want it to end — much like last year — but my freshies are at the top of my heart because they wanted this,"" Staley said in a post-game interview with ESPN.Freshman Johnson credited the team's success with the environment Staley helped create: ""We're unselfish people and that's how we win it,"" she said after the game. After the game, Staley praised Clark's historic run in remarks to the stadium crowd.""I want to personally thank Caitlin Clark for lifting up our sport,"" she said. ""She carried a heavy load. You are one of the GOATs of our game and we appreciate you.""It was Clark's last chance at a championship ring during her college career. She plans to  enter the WNBA draft next year . But she's got other wins at top of mind.""People will probably remember our two Final Fours and things like that,"" she told reporters. ""But people aren't gonna remember every single win or every single loss. I think they're just gonna remember the moments that they shared at one of our games. Or watching on TV. Or how excited their young daughter or son got about watching women's basketball. I think that's pretty cool. Those are the things that mean the most to me.""",2024-04-08 03:24:00 AM EEST,NPR,South Carolina defeats Iowa to win the women's NCAA basketball championship,https://www.npr.org/2024/04/07/1243319362/ncaa-championship-title-iowa-south-carolina-clark
"Regina G. Barber,Berly McCoy,Rachel Carlson,Rebecca Ramirez","It's baseball season! And when we here at  Short Wave  think of baseball, we naturally think of physics. To get the inside scoop on the physics of baseball, like how to hit a home run, we talk to Frederic Bertley, CEO and President of the Center of Science and Industry, a science museum in Columbus, Ohio. He also talks to host  Regina G. Barber  about how climate change is affecting the game. Interested in the science of other sports? Email us at  shortwave@npr.org  — we'd love to hear from you.Listen to Short Wave on  Spotify ,  Apple Podcasts  and  Google Podcasts .Listen to every episode of Short Wave sponsor-free and support our work at NPR by signing up for Short Wave+ at  plus.npr.org/shortwave .This episode was produced by Berly McCoy and Rachel Carlson. It was edited and fact-checked by Rebecca Ramirez. Patrick Murray was the audio engineer.",2024-04-08 01:24:00 AM EEST,NPR,"How climate change and physics affect baseball, America's favorite pastime",https://www.npr.org/2024/04/08/1198909646/baseball-mlb-physics-climate-change-home-runs-pitches
"Russell Lewis,Becky Sullivan,Emma Bowman","The football great Orenthal James Simpson, known as O.J., who was accused and ultimately acquitted in the killings of his ex-wife and her friend, has died.   Simpson was 76.In  a post on X , his family said he died on Wednesday. He ""succumbed to his battle with cancer,"" and was surrounded by his children and grandchildren. Simpson was a cultural icon who starred on the football field and in movies and commercials.   That legacy was forever eclipsed after he made headlines in 1994 for another reason when he was accused of killing his ex-wife, Nicole Brown Simpson, and her friend Ronald Goldman. In 1995, jurors determined he was not guilty in the stabbing deaths. No one else was ever charged. Dubbed the ""trial of the century,"" the nationally televised proceedings captivated the country with a verdict that reverberated across the U.S. with debates about police misconduct, race, celebrity and domestic abuse.O.J. Simpson first found fame on the football field. Once a kid who wore leg braces until age 5 after developing rickets, Simpson went on to become one of the greatest running backs of all time.   He played at the University of Southern California (USC) in the late 1960s. The powerful tailback danced, dashed and dazzled on the field, propelling the Trojans to a national championship in 1967. He won the Heisman trophy, as college football's best player, in 1968.After graduating from USC, he played 11 seasons in the NFL; nine of them with the Buffalo Bills, and two seasons with the San Francisco 49ers. Known as ""The Juice,"" he collected four rushing titles, played in five Pro Bowls and, in 1973, became the first running back to break the 2,000-yard rushing mark. During and after his pro career ended in 1979, he starred in TV commercials, mostly notably as a pitchman for Hertz as he rushed through airports for the rental car company. He also later appeared in several shows and movies,   including  The Naked Gun  and the TV miniseries  Roots ,   as producers seized on his fame and likeability.In 1994, the bodies of his ex-wife, Nicole Brown Simpson, and her friend, Ronald Goldman, were found stabbed outside her home in Los Angeles. Not long after, Simpson was arrested and his subsequent ""low-speed"" white Bronco car chase on L.A. freeways was televised nationwide; some  95 million people  tuned into the chase coverage. In 1995, a criminal jury determined he was not guilty of committing the killings. The most famous moment of the months-long trial was when a prosecutor asked OJ to try on the gloves believed to belong to the killer. In a dramatic showing, Simpson struggled to pull on the snug pair. Defense lawyer Johnnie Cochrane seized on this, delivering the most famous line of the whole spectacle in his closing arguments: ""If it doesn't fit, you must acquit.""Prosecutors Marcia Clark, William Hodgman and Christopher Darden came to the trial with strong evidence linking Simpson to the killings, including DNA tests, the right hand of a pair of blood-stained gloves that were found at his home, and his history of spousal abuse.Simpson's legal team of prominent criminal defense lawyers, including Johnnie Cochran and Alan Dershowitz, F. Lee Bailey and Robert Kardashian, successfully made the case to the jury that there was reasonable doubt. It cast the LAPD as racist and corrupt, arguing that it had tampered with forensic evidence at a shoddy crime scene.When the mixed-race jury announced the not guilty verdict, public reaction seen in media coverage largely fell along racial lines, showing Black people celebrating and white people shocked by his acquittal. Those TV clips didn't tell the full story, says Camille Charles, a professor of Africana Studies at the University of Pennsylvania. It wasn't that Black Americans all thought he was innocent, she says.""Black people were more conflicted than was really ever shown in the media,"" Charles says. But, she says, ""Black folks had had such a bad experience with the criminal justice system that they rooted for him as a Black man who actually had the resources to mount a proper defense.""The trial took place three years after the  acquittal of four LAPD officers  in the beating of Rodney King had inflamed the deep distrust among Black people and police.But, as a wealthy celebrity who married a white woman, Simpson was ""never seen as a staunch proponent of the African American community,"" says Darnell Hunt, a professor of sociology and African American studies at UCLA, and as a result, didn't engender overwhelming sympathy among African Americans during his trial.Two years later, a different civil jury determined he was liable in the deaths and ordered him to pay $33 million to the families of Brown and Goldman. Simpson continued to maintain his innocence in media interviews.That wasn't his last tangle with legal trouble. In 2007, he led a group of men to a Las Vegas hotel room to confront some sports memorabilia dealers. Several people brought guns with them, and Simpson was later convicted of armed robbery. He served almost a decade in a Nevada prison and was  released on parole in 2017 .The public's fascination with O.J. Simpson never waned. He was the subject of numerous documentaries about the killings and his life.",2024-04-12 01:26:00 AM EEST,NPR,"O.J. Simpson, football legend acquitted of notorious killings, dies at 76",https://www.npr.org/2024/04/11/1244097564/oj-simpson-football-nicole-brown-ronald-goldman-white-bronco
None,"TOKYO — Hawaii-born Akebono Taro, one of the greats of sumo wrestling and a former grand champion, has died. He was 54. He was the first foreign-born wrestler to reach the level of  yokozuna  — or grand champion — in Japan.""It is with sadness that we announce Akebono Taro died of heart failure earlier this month while receiving care at a hospital in the Tokyo area,"" the family said in a statement.His wife Christine Rowan, in an email to The Associated Press, said he died ""within the past week"" but declined to give details.""I had to tend to personal matters that needed to be done prior to publicly announcing my husband's death,"" she said.Akebono grew up on the rural side of the Koolau mountains from Honolulu and was born Chad George Ha'aheo Rowan.He moved to Tokyo in the late 1980s and won his first grand championship in 1993.At the prime of his career he was a real giant, reported at the time to weigh 500 pounds (225 kilos) and stand 6-feet-8 — or 2.03 meters.The United States ambassador to Japan, Rahm Emanuel,  sent his condolences on social platform X .""I was deeply saddened to learn of the passing of Akebono, a giant in the world of sumo, a proud Hawaiian and a bridge between the United States and Japan,"" Emanuel posted.""When Akebono became the first-ever foreign-born grand champion, sumo's highest rank, in 1993, he opened the door for other foreign wrestlers to find success in the sport. Throughout his 35 years in Japan, Akebono strengthened the cultural ties between the United States and his adopted homeland by uniting us all through sport.""Akebono was an 11-time grand tournament winner and he retired in 2001.The family's statement said friends and family will hold a ""private celebration of his life."" He is survived by his wife, Christine, daughter and two sons.""The family kindly asks for privacy during this time of mourning,"" the statement said.",2024-04-11 18:52:00 PM EEST,NPR,"The first foreign-born grand champion of sumo, Akebono Taro, dies at age 54",https://www.npr.org/2024/04/11/1244093282/akebono-taro-sumo-grand-champion-yokozuna-hawaii
None,"Bill Cowher played in the NFL before becoming one of the most celebrated coaches in football history. He led the Pittsburgh Steelers to a Super Bowl win in 2006, but before that, had to deal with being berated at his 20th high school reunion by a bunch of drunk Steelers fans. He could handle that with ease, but can he handle our quiz?",2024-04-13 10:00:00 AM EEST,NPR,Bill Cowher talks winning the Super Bowl and encourages yelling on NPR,https://www.npr.org/2024/04/13/1198908700/wait-wait-dont-tell-me-draft-04-13-2024
Ximena Bustillo,"GILBERT, Ariz. — It was Annie Lewis' idea to put a ""Republicans for Biden"" sign in the front yard in the lead-up to 2020. For her, it came down to civility. As a teacher for over a decade, the mother of six little ones, and a lifelong member of the Church of Jesus Christ of Latter-day Saints, she felt then-President Trump did not show true leadership.""I was embarrassed anytime a clip of Trump, at that time, was on and my children were in the room,"" Lewis said.Lewis was not alone in her thinking. In 2020,  GOP residents of Maricopa County in Arizona banded  together  to stand up against Trump . The signs were created by Dan Barker, a leader in the Maricopa County LDS community and former GOP-appointed judge, who wanted to find a way to support Biden without giving up his lifelong Republican identity. His wife, Nan, was the one who pushed him to have a sign. ""She probably got there quicker than I did,"" said Barker, who in 2020 started the political action committee Arizona Republicans Who Believe in Treating Others with Respect. ""I just wasn't quite comfortable identifying with the Democratic Party. And so for me, I said, hey, well, I'd rather do something like, 'Republicans for Biden.' ""Barker doled out thousands of signs, picketing at busy street corners and standing them up on lawns. Sometimes they were torn down, and other times they created controversy on community Facebook pages. But Biden ultimately won the state by just over 10,000 votes and flipped Maricopa County, the county with the largest share of Arizona's voters. Barker credits the win, in part, to his campaign.""That's one of the main reasons we did it — so that people would know that you could be a conservative and vote for Biden because you did not find Trump acceptable,"" Barker said. ""And Biden was somebody that you can vote for, you don't have to agree with every position he takes.""With Trump back in the GOP's top seat, Barker hopes to reignite his PAC's efforts. Members of the LDS church make up just over  5% of the population in Arizona . But in this state, margins matter — making it prime for all kinds of voting blocs to flex their power. The Trump campaign nationally  struggled to court reliably Republican LDS voters in 2016 , and  again in 2020 , and  recently views on Trump have not improved . In a state where tight margins and voter enthusiasm could determine the White House, several self-identifying Republican LDS women say the party has left them behind.<h2>How LDS Republicans began to question their party loyalty</h2>Günes Murat Tezcür, director of the School of Politics and Global Studies at Arizona State University, said LDS members are typically reliable Republican voters. But changes in the GOP over the last eight years under Trump's leadership have led to hesitation. ""There's something to be said about the more urban, educated Mormons who became more questioning,"" Tezcür said, describing the demographic in Maricopa County. ""That makes Arizona more interesting because this population may have some real implications for the outcome of the election every November, especially in the presidential contest.""Stan Barnes, a political consultant in Phoenix, agrees that Republican voters — particularly women — turning away from their party's candidates has helped Democrats win the presidency and the governor's office. ""There are people all over Arizona that are otherwise Republican voters that don't know what to do because they cannot get over Donald Trump's jackassery,"" Barnes said. ""They don't know how to bring themselves to vote for someone that they judge to be so flawed as a human being.""The Trump campaign and Arizona GOP did not respond to a request for comment on how they are courting LDS voters and responding to criticism. But the sense that voters might be up for grabs is not lost on the other side. Jon Ryder, executive director of the Maricopa County Democrats, said he is looking forward to courting these questioning voters.""We have the Democrats we want to turn out, we have the independents who we have to make sure are voting our way and turn out,"" Ryder said. ""And then we have the persuasion universe of independents and Republicans, especially Republican women, who when they hear our message or when they hear the message from our candidates, are more likely to support our candidates than the other side. And so we do have a plan for that.""<h2>Political involvement is almost a given</h2>Tezcür said that certain elements of the LDS faith, such as serving missions and its  history as a violently persecuted religious minority , might make some members more open to progressive views on immigration and diversity, while still having conservative stances on economic policy, government regulation and other social issues.On a sunny day in Gilbert, six women, including Lewis, gathered in a large living room in Andersen's home to discuss their experiences in religion and politics. They tout their community involvement in particular.""We're very involved citizens. So you're going to get active people [who do and don't support Trump],"" said Jane Andersen, a member of Mormon Women for Ethical Government, a nonprofit group that promotes civic engagement among the LDS community. ""But I think there is a vested interest, especially for women, in becoming active in this sphere.""Running for city council, state legislature, working at polling sites and with nonprofits, they all emphasized how their work and faith influence how they want to inspire their own children.""I get to go out and experience things in the schools, and I get to go out and see things in the community,"" said Rachel Albertsen, who lives in Gilbert and voted for then-presidential candidate Nikki Haley in March. ""My husband goes to an office and he comes home. That's a unique experience that I get to go and my kids see me doing things like that.""<h2>This tight community feels a sense of 'political homelessness'</h2>All the women who gathered to speak to NPR are members of the LDS church, and all, at least at one point, were registered Republicans. Julie Spilsbury, a council member in Mesa, says she's always been a registered Republican, ""Mostly because that's how I was raised."" Spilsbury also voted for Haley in March's election. Despite Arizona holding a closed primary where independents could not participate, Haley — who generally attracted independent voters — received nearly 20% of the vote. ""The term 'politically homeless' resonates with me,"" Spilsbury said. ""If you're a Republican, but you're not a MAGA Republican or a Trump Republican, where do you fit?""Maricopa County has the  third-highest number of church congregations, or ""stakes,"" and temples . What makes the LDS community unique, Spilsbury said, is that, unlike other religions, members do not get to pick which congregation they attend. It  is split up geographically , like school districts. It's done for practical and spiritual reasons to promote tolerance of differences, including political differences. But that doesn't always go as intended.""I have about five or six families in our ward that will not speak to my husband and I over political differences. And these are people whom we have served with throughout the years and have incredible sacred experiences together,"" Spilsbury said. ""And because we have political differences now, we can't be friends. And that's painful.""Suzanne Lunt of Gilbert, who also voted for Haley, left the Republican Party after the Jan. 6 insurrection at the U.S. Capitol, and only switched back to vote against Trump in March.""I remained a Republican until Jan. 6. And then I watched to see how the Republican Party would respond to the events that occurred,"" Lunt said. ""And I wasn't pleased with that. And so I became an independent.""She noted the issue of abortion is often what keeps people loyal to the party, especially in the church. But a recent church address allowed her to feel like she didn't have to toe the party line.""One of our leaders said, 'You may not be able to focus just on that one issue, that we've got to think about the whole person and the morality and the goodness and that you have to choose what's most important to you,' "" Lunt said. ""And it kind of gave me permission.""Division within Arizona Republicans has been exacerbated by candidates' political rhetoric up and down the ballot, said Andersen, recalling when then-gubernatorial candidate (now-Senate candidate)  Kari Lake told Republicans affiliating with the late Sen. John McCain to ""get out.""  Lake  has since walked back the statement .""Because I have some issues with authority, I have decided I will stay firmly planted,"" Andersen said. ""I will still be a registered Republican, in part because you can't tell me I don't belong. And guess what? You don't grow a party by kicking people out.""Andersen said she has never supported Trump. The last straw for her was when Trump imitated a  journalist with disabilities during a political rally in 2016  — she thought of her son, who has a disability. ""Not only did that not resonate with me, it angered me. Because my son has value. It doesn't matter if he's different,"" Andersen said. ""Our country can weather some bad tax policy, but if we are led by people devoid of character, that's going to produce generational harm.""All the women said they think about how their faith, involvement and vote will impact the next generation. Albertsen, a mother of four, reflected on how one of her daughters perceived her role in the community.""She sees an example of a mother who is active in civics and is active in the community and is active in her faith community,"" Albertsen said. ""And I think that's something within our faith community. ... We all have multiple children that we're influencing.""<h2>Where the opportunities lie</h2>Although a faction of the GOP base is feeling uneasy about their candidates, many are still likely to support the party picks — especially when faced with a Biden record they may not fully align with. ""Let's face it, Donald Trump is a flawed human being and a flawed candidate, but he's not running against a perfect human being and a perfect candidate,"" said Barnes, the Phoenix-based consultant. ""Now it is about Trump, the flawed candidate, versus the Biden record, which is as sour as it can be in Arizona.""Reita Juarez is one Maricopa County LDS voter who has voted for Trump and plans to do so again. Still, he wasn't her top pick. Originally a registered independent, she switched to Republican in the presidential preference and voted for businessman Vivek Ramaswamy. Ahead of the general, she considered voting for Robert F. Kennedy Jr., before settling on Trump again.""I don't have a ton of trust for our government anymore. And that goes for both Republicans and Democrats,"" Juarez said. ""I'm not happy with the Republican Party as a whole.""Although she agrees Trump's behavior is not something she likes either, she still finds herself aligning with his conservative stances on immigration and abortion. At times, she said, she also feels ostracized for her political choices within the LDS community.""We all have to end up justifying something somewhere. If I justify Trump's big, big, fat mouth or his awful rhetoric, it's because we're limited with these choices,"" Juarez said. ""We have to balance and weigh these things.""Cheeri Farnsworth, another lifelong Republican voter, is also planning to be loyal to Trump and has hosted private meet-and-greets for Republican Senate candidate Lake.""[Trump] aligns with my family values and with my religion and what I feel like this country needs right now,"" Farnsworth said, noting border security is one of her top issues. ""We all get to choose what we want. Who we want to vote for, what our beliefs are — we have that freedom. We have good friends I can think of off the top of my head that are voting for Biden.""Still, the women who are planning to support the current president warn that Biden needs to reach out more. They said they haven't seen much movement, but there is plenty of opportunity — especially with younger LDS members.At the end of the day, Spilsbury finds political power on all sides in what she calls the ""Maricopa County, East Valley Mormon moms.""""Moms make the world go round and nothing gets done without us. And we have power,"" Spilsbury said, noting that her youngest of six will be 18 this election. ""Our voices matter. What we teach our kids matters.""",2024-04-14 12:01:00 PM EEST,NPR,"These Mormon women are rejecting Trump, fraying GOP support in a key state",https://www.npr.org/2024/04/14/1242051595/trump-arizona-mormon-lds-republican-voters
